"family";"name";"triangles";"primitives";"initial";"p1";"p2";"initial<->p1";"initial<->p2";"p1<->p2"
"Columnas";"Columna 14 | perfil original y 24 hiladas";"8137";"2";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS"
"Columnas";"Columna 15 | perfil original y 24 hiladas";"8803";"2";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS"
"Columnas";"Columna 16 | perfil original y 24 hiladas";"8808";"2";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL"
"Columnas";"Columna 17 | perfil original y 24 hiladas";"8805";"2";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Columnas";"Columna 18 | perfil original y 24 hiladas";"5013";"2";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Pavimento";"Pavimento | sector (3, 1)";"4400";"1";"POTENCIAL";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"FUERA_MUESTRAS"
"Pavimento";"Pavimento | sector (1, 2)";"3696";"1";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Pavimento";"Pavimento | sector (3, 3)";"4400";"1";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Pavimento";"Pavimento | sector (2, 1)";"4400";"1";"POTENCIAL";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"FUERA_MUESTRAS"
"Pavimento";"Pavimento | sector (3, 2)";"4400";"1";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Pavimento";"Pavimento | sector (2, 3)";"4400";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Pavimento";"Pavimento | sector (3, 0)";"3344";"1";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS"
"Pavimento";"Pavimento | sector (1, 4)";"1408";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Pavimento";"Pavimento | sector (2, 2)";"4400";"1";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Pavimento";"Pavimento | sector (1, 3)";"3608";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Pavimento";"Pavimento | sector (2, 0)";"4400";"1";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS"
"Pavimento";"Pavimento | sector (1, 1)";"3520";"1";"POTENCIAL";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"FUERA_MUESTRAS"
"Pavimento";"Pavimento | sector (4, 3)";"880";"1";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Pavimento";"Pavimento | sector (2, 4)";"1760";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Pavimento";"Pavimento | sector (3, 4)";"1760";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Pavimento";"Pavimento | sector (1, 0)";"1936";"1";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS"
"Pavimento";"Pavimento | sector (4, 1)";"880";"1";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS"
"Pavimento";"Pavimento | sector (4, 4)";"352";"1";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Pavimento";"Pavimento | sector (4, 2)";"880";"1";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Pavimento";"Pavimento | sector (0, 2)";"44";"1";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS"
"Pavimento";"Pavimento | sector (4, 0)";"352";"1";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS"
"Mortero";"Mortero bajo pavimento";"12";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Relieves y celosias";"Relieves y celosias | sector (1, 3)";"21775";"1";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL"
"Relieves y celosias";"Relieves y celosias | sector (2, 4)";"2270";"1";"POTENCIAL";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"FUERA_MUESTRAS"
"Relieves y celosias";"Relieves y celosias | sector (1, 2)";"6356";"1";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS"
"Relieves y celosias";"Relieves y celosias | sector (5, 4)";"6810";"1";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Relieves y celosias";"Relieves y celosias | sector (5, 3)";"6810";"1";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL"
"Relieves y celosias";"Relieves y celosias | sector (1, 4)";"6810";"1";"POTENCIAL";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Relieves y celosias";"Relieves y celosias | sector (3, 4)";"4994";"1";"POTENCIAL";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"FUERA_MUESTRAS"
"Relieves y celosias";"Relieves y celosias | sector (5, 2)";"6356";"1";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS"
"Relieves y celosias";"Relieves y celosias | sector (5, 1)";"454";"1";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS"
"Relieves y celosias";"Relieves y celosias | sector (1, 1)";"454";"1";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS"
"Relieves y celosias";"Relieves y celosias | sector (0, 2)";"454";"1";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS"
"Arquitectura restante";"Beam";"44";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Mesa y soportes";"Foot_5";"300";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Mesa y soportes";"Table_Slab";"253";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Mesa y soportes";"Foot_4";"300";"1";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Sillones";"Sillon 01 | frente";"6008";"6";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Sillones";"Sillon 02 | fondo";"6008";"6";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Sillones";"Sillon 03 | izquierda";"6008";"6";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Sillones";"Sillon 04 | derecha";"6008";"6";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Mesa y soportes";"Mesa | campo de cuero";"36";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Mesa y soportes";"Mesa | filete de laton";"44";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Mesa y soportes";"Mesa | faldon tallado";"44";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Mesa y soportes";"Mesa | filete de laton.001";"44";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Mesa y soportes";"Mesa | faldon tallado.001";"44";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Mesa y soportes";"Mesa | filete transversal";"44";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Mesa y soportes";"Mesa | filete transversal.001";"44";"1";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Mesa y soportes";"Mesa | remate del soporte";"44";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Mesa y soportes";"Mesa | remate del soporte.001";"44";"1";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Pedestales y ornamentos (clasificacion por confirmar visualmente)";"Base_7";"404";"1";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Pedestales y ornamentos (clasificacion por confirmar visualmente)";"Base_2";"58";"1";"POTENCIAL";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"FUERA_MUESTRAS"
"Pedestales y ornamentos (clasificacion por confirmar visualmente)";"Vase_Big_2";"1720";"1";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Pedestales y ornamentos (clasificacion por confirmar visualmente)";"Stand";"60";"1";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Pedestales y ornamentos (clasificacion por confirmar visualmente)";"Base_5";"140";"1";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Pedestales y ornamentos (clasificacion por confirmar visualmente)";"Postament";"1478";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Pedestales y ornamentos (clasificacion por confirmar visualmente)";"Zylinder_2";"144";"1";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Pedestales y ornamentos (clasificacion por confirmar visualmente)";"Zylinder_1";"144";"1";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Pedestales y ornamentos (clasificacion por confirmar visualmente)";"Sphere";"1017";"1";"POTENCIAL";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"FUERA_MUESTRAS"
"Pedestales y ornamentos (clasificacion por confirmar visualmente)";"Foot";"248";"1";"POTENCIAL";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"FUERA_MUESTRAS"
"Pedestales y ornamentos (clasificacion por confirmar visualmente)";"Postament_2";"1478";"1";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Pedestales y ornamentos (clasificacion por confirmar visualmente)";"Foot_2";"248";"1";"POTENCIAL";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"FUERA_MUESTRAS"
"Pedestales y ornamentos (clasificacion por confirmar visualmente)";"Base";"58";"1";"POTENCIAL";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"FUERA_MUESTRAS"
"Pedestales y ornamentos (clasificacion por confirmar visualmente)";"Sphere_2";"1017";"1";"POTENCIAL";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"FUERA_MUESTRAS"
"Pedestales y ornamentos (clasificacion por confirmar visualmente)";"Base_6";"404";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Pedestales y ornamentos (clasificacion por confirmar visualmente)";"Vase_Big";"1720";"1";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL"
"Pedestales y ornamentos (clasificacion por confirmar visualmente)";"Base_4";"140";"1";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"POTENCIAL";"FUERA_MUESTRAS"
"Cristaleria original sustituida";"Cut crystal decanter";"768";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Cristaleria original sustituida";"Crystal stopper";"256";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Cristaleria original sustituida";"Crystal tumbler";"480";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Cristaleria original sustituida";"Crystal tumbler.001";"480";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Carpeta y papel";"Leather folio";"167";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Carpeta y papel";"Paper on folio";"164";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Exterior original combinado";"Tyrell_Corporation_Pyramid";"39654";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Cielo y sol originales";"Cielo | fondo a 900 m";"2";"1";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Cielo y sol originales";"Sol | disco a 650 m";"64";"1";"POTENCIAL";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL";"POTENCIAL"
"Llamaradas";"Llamarada 1 (envolvente por defecto)";"0";"0";"FUERA_MUESTRAS";"FUERA_MUESTRAS";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"POTENCIAL"
"Llamaradas";"Llamarada 2 (envolvente por defecto)";"0";"0";"FUERA_MUESTRAS";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL"
"Llamaradas";"Llamarada 3 (envolvente por defecto)";"0";"0";"FUERA_MUESTRAS";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL";"FUERA_MUESTRAS";"POTENCIAL"
